time flux flux_err
1517.9308301625 nan nan
1517.9516641656 nan nan
1517.9724981693 nan nan
1517.9933321734 nan nan
1518.0141661779 nan nan
1518.0350001829 nan nan
1518.0975021995 nan nan
1518.1183362056 nan nan
1518.1391702118 nan nan
1518.1600042183 nan nan
1518.1808382249 nan nan
1518.2016722316 nan nan
1518.2433402452 0.9995873877 0.0008167034
1518.2641742521 0.9985917984 0.0008167066
1518.2850082590 0.9995894505 0.0008166850
1518.3058422659 0.9995234663 0.0008166877
1518.3266762728 1.0006380913 0.0008166934
1518.3475102796 0.9996686228 0.0008166729
1518.3683442863 0.9988019686 0.0008166862
1518.3891782930 0.9998601103 0.0008166937
1518.4516803124 0.9991087139 0.0008166902
1518.4725143186 0.9997817610 0.0008166713
1518.5141823304 1.0007036907 0.0008166623
1518.5350163361 1.0002400452 0.0008166704
1518.5766843468 1.0021481287 0.0008166588
1518.5975183518 1.0009165242 0.0008166659
1518.6183523566 1.0013311497 0.0008166705
1518.6391863611 1.0008357489 0.0008166790
1518.6600203653 0.9989372726 0.0008166656
1518.6808543693 1.0012390421 0.0008166758
1518.7016883730 1.0009161497 0.0008166634
1518.7433563796 1.0000438539 0.0008166831
1518.7641903824 1.0000378954 0.0008166732
1518.7850243849 0.9995072667 0.0008166745
1518.8058583871 1.0004813665 0.0008166731
1518.8266923889 0.9992936068 0.0008166764
1518.8475263904 1.0000123407 0.0008166731
1518.8683603916 0.9993547749 0.0008166625
1518.8891943924 0.9976076301 0.0008166567
1518.9100283928 1.0002360727 0.0008166521
1518.9308623929 1.0011670955 0.0008166437
1518.9516963926 0.9999954893 0.0008166457
1518.9725303919 0.9994044786 0.0008166457
1518.9933643908 1.0000297440 0.0008166379
1519.0141983894 0.9987885256 0.0008166358
1519.0350323875 1.0002181225 0.0008166331
1519.0558663853 1.0004254331 0.0008166381
1519.0767003828 1.0006743326 0.0008166469
1519.0975343797 1.0001732550 0.0008166489
1519.1183683762 1.0008368725 0.0008166304
1519.1392023723 1.0008005891 0.0008166101
1519.1600363680 1.0000517610 0.0008166099
1519.1808703632 0.9987330611 0.0008166055
1519.2017043580 0.9992545570 0.0008166136
1519.2225383524 0.9975628610 0.0008166078
1519.2433723463 0.9997324023 0.0008166037
1519.2642063398 1.0010667575 0.0008166041
1519.2850403328 0.9997699336 0.0008166057
1519.3058743254 0.9995907397 0.0008165863
1519.3267083175 1.0012053279 0.0008165959
1519.3475423091 0.9992303013 0.0008165794
1519.3683763003 0.9995060909 0.0008165795
1519.3892102910 0.9999294690 0.0008165789
1519.4100442813 1.0002390988 0.0008165771
1519.4308782710 0.9995533480 0.0008165672
1519.4517122603 1.0013101976 0.0008165660
1519.4725462491 1.0002186596 0.0008165669
1519.4933802375 0.9999581416 0.0008165622
1519.5142142253 0.9994893297 0.0008165781
1519.5350482127 1.0011230148 0.0008165791
1519.5558821995 0.9975234635 0.0008165885
1519.5767161859 0.9995520088 0.0008165905
1519.5975501718 0.9996815196 0.0008166096
1519.6183841572 0.9995098465 0.0008166278
1519.6392181420 1.0007324003 0.0008166391
1519.6600521264 0.9993840937 0.0008166326
1519.6808861103 1.0007060444 0.0008166340
1519.7017200937 0.9991762693 0.0008166515
1519.7225540765 0.9996243277 0.0008166496
1519.7433880589 1.0005251297 0.0008166564
1519.7642220407 0.9999396338 0.0008166647
1519.7850560220 1.0000532665 0.0008166665
1519.8058900028 0.9998279433 0.0008166754
1519.8267239831 1.0001450583 0.0008166560
1519.8475579628 1.0017977539 0.0008166464
1519.8683919420 1.0003219473 0.0008166412
1519.8892259207 1.0003202903 0.0008166305
1519.9100598989 0.9999505103 0.0008166349
1519.9308938766 0.9997316316 0.0008166505
1519.9517278537 1.0009449494 0.0008166468
1519.9725618303 1.0005042006 0.0008166458
1519.9933958063 1.0004774011 0.0008166490
1520.0142297818 1.0000849374 0.0008166277
1520.0350637568 0.9997325740 0.0008166348
1520.0558977313 0.9995178175 0.0008166443
1520.0767317052 1.0005619006 0.0008166469
1520.0975656785 1.0014333827 0.0008166579
1520.1183996514 1.0007264816 0.0008166715
1520.1392336237 0.9991008730 0.0008166817
1520.1600675954 0.9999593124 0.0008166880
1520.1809015666 0.9987226044 0.0008166845
1520.2017355372 1.0005139590 0.0008166767
1520.2225695073 0.9998614724 0.0008166769
1520.2434034769 0.9995763976 0.0008166614
1520.2642374459 0.9990988219 0.0008166721
1520.2850714143 1.0014296418 0.0008166712
1520.3059053822 1.0000688547 0.0008166576
1520.3267393495 1.0006622854 0.0008166565
1520.3475733163 0.9991872768 0.0008166404
1520.3684072825 0.9998363096 0.0008166413
1520.3892412482 1.0002561282 0.0008166433
1520.4100752133 1.0007381070 0.0008166372
1520.4309091778 0.9993249696 0.0008166331
1520.4517431418 0.9994593719 0.0008166425
1520.4725771053 1.0004309779 0.0008166492
1520.4934110681 0.9997960745 0.0008166579
1520.5350789922 0.9992848489 0.0008166534
1520.5559129533 0.9976000165 0.0008166440
1520.5767469139 0.9992993050 0.0008166459
1520.5975808739 0.9994378141 0.0008166450
1520.6184148334 0.9999283898 0.0008166340
1520.6392487923 0.9997653714 0.0008166544
1520.6600827506 1.0007552147 0.0008166569
1520.6809167084 0.9995510081 0.0008166708
1520.7017506656 1.0003003032 0.0008166515
1520.7225846221 0.9991530664 0.0008166332
1520.7434185782 0.9985538389 0.0008166505
1520.7642525336 0.9992485693 0.0008166345
1520.7850864885 0.9997885255 0.0008166324
1520.8059204428 1.0010419575 0.0008166384
1520.8267543966 1.0007155063 0.0008166381
1520.8475883497 0.9998120004 0.0008166551
1520.8684223023 1.0010588708 0.0008166566
1520.8892562542 0.9999665707 0.0008166587
1520.9100902057 0.9996757500 0.0008166672
1520.9309241565 1.0002896335 0.0008166715
1520.9517581068 0.9997080822 0.0008166922
1520.9725920564 0.9999764301 0.0008166890
1520.9934260055 1.0014003792 0.0008166955
1521.0142599540 0.9982612052 0.0008166851
1521.0350939019 1.0000484079 0.0008166883
1521.0559278492 1.0004764780 0.0008166870
1521.0767617960 0.9995752158 0.0008166870
1521.0975957421 1.0001544732 0.0008167089
1521.1184296877 1.0021962644 0.0008167073
1521.1392636327 0.9993149816 0.0008166974
1521.1600975771 0.9999607379 0.0008166999
1521.1809315209 1.0002270572 0.0008166864
1521.2017654641 1.0003113865 0.0008167007
1521.2225994067 1.0008898593 0.0008166843
1521.2434333487 0.9999774740 0.0008166727
1521.2642672901 0.9999026386 0.0008166711
1521.2851012310 1.0016203841 0.0008166905
1521.3059351712 1.0011654224 0.0008166918
1521.3267691109 1.0004618931 0.0008167095
1521.3476030499 0.9994772152 0.0008167044
1521.3684369884 0.9994258705 0.0008167070
1521.3892709263 1.0018395195 0.0008167222
1521.4101048635 1.0000718864 0.0008167246
1521.4309388002 1.0004423101 0.0008167187
1521.4517727363 0.9985072682 0.0008167178
1521.4726066718 0.9992845401 0.0008167342
1521.4934406066 1.0002900036 0.0008167206
1521.5142745409 1.0006378279 0.0008167082
1521.5351084746 1.0008161012 0.0008166966
1521.5559424076 0.9992700054 0.0008166994
1521.5767763401 0.9998437427 0.0008166904
1521.5976102720 1.0002918001 0.0008166883
1521.6184442033 0.9991599734 0.0008166797
1521.6392781339 0.9990743923 0.0008166801
1521.6601120640 0.9998434400 0.0008166787
1521.6809459934 1.0008474311 0.0008166813
1521.7017799223 1.0015456241 0.0008166827
1521.7226138505 0.9996117849 0.0008166745
1521.7434477782 1.0009624349 0.0008166733
1521.7642817052 1.0001770317 0.0008166541
1521.7851156316 0.9989936144 0.0008166492
